family,model_label,trained_panel,mean_loss,mean_mae,panel_order
standard_cfm,CFM,"1,984",83.87977199554443,4.331133425235748,0
standard_cfm,CFM,"5,000",88.28576011657715,4.384511458873749,1
standard_cfm,CFM,"10,000",82.84754505157471,4.297140491008759,2
standard_cfm,CFM,"10,000 + UCE",89.87145099639892,4.609822380542755,3
cross_attention,Cross-attn,"1,984",84.78837661743164,4.360729467868805,0
cross_attention,Cross-attn,"5,000",96.80709304809571,4.55253781080246,1
cross_attention,Cross-attn,"10,000",80.53614835739135,4.322559642791748,2
cross_attention,Cross-attn,"10,000 + UCE",78.74695644378662,4.130323326587677,3
film,FiLM,"1,984",82.73233909606934,4.376476633548736,0
film,FiLM,"5,000",93.38044128417968,4.506029593944549,1
film,FiLM,"10,000",92.64083080291748,4.434112644195556,2
film,FiLM,"10,000 + UCE",86.79604263305664,4.311021161079407,3
